jop_title,company_name,exp_level,jop_details,link,
Senior PHP Developer (Laravel),Our Education,3 - 5 Yrs of Exp,Full TimeVolunteeringExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Computer Science · Laravel · HTML5 · CSS3 · MVC · Programming · javaScript,https://wuzzuf.net/jobs/p/kKPHGd6wJxrK-Senior-PHP-Developer-Laravel-Our-Education-Cairo-Egypt?o=377&l=sp&t=sj&a=data science|search-v3|navbl, 
Full Stack Developer,3S Software,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MySQL · MVC · Information Technology (IT) · JavaScript · HTML5 · HTML · API · SQL Server Reporting Services,https://wuzzuf.net/jobs/p/bMAxxZeXDSIB-Full-Stack-Developer-3S-Software-Cairo-Egypt?o=378&l=sp&t=sj&a=data science|search-v3|navbl, 
IT Technical Support Specialist,Reportage Egypt Real Estate Development,2 - 7 Yrs of Exp,Part TimeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Technical Support · Microsoft Certified IT Professional · Microsoft Windows · Laptop Maintenance · Computer Science · Computer Systems · Engineering,https://wuzzuf.net/jobs/p/CJcu3MVdA69f-IT-Technical-Support-Specialist-Reportage-Egypt-Real-Estate-Development-Cairo-Egypt?o=379&l=sp&t=sj&a=data science|search-v3|navbl, 
Backend Developer,Perfect Presentation,5+ Yrs of Exp,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · ASP.Net · Development · Software · Software Engineering · Software Development · Computer Science · Docker,https://wuzzuf.net/jobs/p/lPMBt8qYnhj1-Backend-Developer-Perfect-Presentation-Giza-Egypt?o=380&l=sp&t=sj&a=data science|search-v3|navbl, 
Tech Manager,NaTakallam,5 - 10 Yrs of Exp,Freelance / ProjectWork From HomeManager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Management · Front End · WordPress · Computer Science · Back End · Amelia Plugin · Software Development,https://wuzzuf.net/jobs/p/5B8VTIVaf7Xf-Tech-Manager-NaTakallam-Beirut-Lebanon?o=381&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Java Developer,AFKAR Technology,3+ Yrs of Exp,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · HTML5 · Design · CSS3 · AngularJS · Information Technology (IT) · JavaScript · React,https://wuzzuf.net/jobs/p/Imoj1TB265qN-Senior-Java-Developer-AFKAR-Technology-Cairo-Egypt?o=382&l=sp&t=sj&a=data science|search-v3|navbl, 
Full Stack Dotnet Developer,Wireless Dynamics,4 - 5 Yrs of Exp,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · jQuery · MVC · Information Technology (IT) · HTML · Engineering · Software Development · SQL,https://wuzzuf.net/jobs/p/a4bUpxGtXAVV-Full-Stack-Dotnet-Developer-Wireless-Dynamics-Cairo-Egypt?o=383&l=sp&t=sj&a=data science|search-v3|navbl, 
Web Developer,Flojics,0 - 2 Yrs of Exp,Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · HTML5 · Information Technology (IT) · JavaScript · Web Development · Angular · CSS3 · jQuery,https://wuzzuf.net/jobs/p/8f1Wb2ZpZhZ6-Web-Developer-Flojics-Alexandria-Egypt?o=384&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior IT Systems Engineer - Cairo,LEONI Wiring System Egypt S.A.E,3 - 5 Yrs of Exp,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MCSE · Network · CCNA · DNS · Information Technology (IT) · Vmware · Computer Science · DHCP,https://wuzzuf.net/jobs/p/7PiPVprLoYoM-Senior-IT-Systems-Engineer---Cairo-LEONI-Wiring-System-Egypt-S-A-E-Cairo-Egypt?o=385&l=sp&t=sj&a=data science|search-v3|navbl, 
QC Packaging Analyst,Rameda,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · Manufacturing/Production · Quality · Pharmaceutical · QC · Pharmaceutical · Quality Control · Communication skills · Sciences · Pharmaceutical Sciences · Packaging,https://wuzzuf.net/jobs/p/uxoW0KFCyyeO-QC-Packaging-Analyst-Rameda-Giza-Egypt?o=386&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Oracle Developer,DMS,4 - 5 Yrs of Exp,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · OCA · OCP · Oracle Database · Oracle Application Server · Oracle Development · Oracle 6i PL/SQL · Oracle 10g PL/SQL · Data Base,https://wuzzuf.net/jobs/p/fzvswKK1PEwM-Senior-Oracle-Developer-DMS-Cairo-Egypt?o=387&l=sp&t=sj&a=data science|search-v3|navbl, 
Software Developer Backend (Java),Aman,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Engineering · Computer Engineering · Back-End Development · J2EE · SOA · HTML,https://wuzzuf.net/jobs/p/wMRsHMwdLH3N-Software-Developer-Backend-Java-Aman-Giza-Egypt?o=388&l=sp&t=sj&a=data science|search-v3|navbl, 
Java Developer,Perfect Presentation,4 - 6 Yrs of Exp,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Software Development · Information Technology (IT) · Computer Science · MVC · Spring · jQuery · JavaScript,https://wuzzuf.net/jobs/p/Qwc3JwqSqi3r-Java-Developer-Perfect-Presentation-Giza-Egypt?o=389&l=sp&t=sj&a=data science|search-v3|navbl, 
Full Stack Web Developer - For Multinational,Popul8IT,3 - 7 Yrs of Exp,Part TimeFreelance / ProjectWork From HomeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · javaScript · English · Design · Programming · Web · Testing · UX,https://wuzzuf.net/jobs/p/uUqLVpMM3y6O-Full-Stack-Web-Developer---For-Multinational-Popul8IT-Cairo-Egypt?o=390&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Sales Engineer,EGID company,5 - 8 Yrs of Exp,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · MS Office · Sales · Software · Computer Science,https://wuzzuf.net/jobs/p/ZqzzcOHAEQEW-Senior-Sales-Engineer-EGID-company-Cairo-Egypt?o=391&l=sp&t=sj&a=data science|search-v3|navbl, 
WordPress Developer,jmskef,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · CSS3 · HTML · HTML5 · JavaScript · Computer Science · Software Development · Vue.js,https://wuzzuf.net/jobs/p/beM7K13h0hYQ-WordPress-Developer-jmskef-Qalubia-Egypt?o=392&l=sp&t=sj&a=data science|search-v3|navbl, 
Oracle Fusion Apps Technical Consultant – (General),Confidential,3+ Yrs of Exp,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Oracle · Fusion · Information Technology (IT) · PLSql · SOAP · SQL · XML,https://wuzzuf.net/jobs/p/QFMWJR4XbyJF-Oracle-Fusion-Apps-Technical-Consultant-–-General-Cairo-Egypt?o=393&l=sp&t=sj&a=data science|search-v3|navbl, 
Safety Specialist,Alfa Laboratories,2 - 3 Yrs of Exp,Full TimeExperienced · 2 - 3 Yrs of Exp · Quality · Engineering - Other · HSE · Engineering · Science · Safety · Manufacturing · Production · Logistics · quality,https://wuzzuf.net/jobs/p/4FZ5F26uM2N7-Safety-Specialist-Alfa-Laboratories-Giza-Egypt?o=394&l=sp&t=sj&a=data science|search-v3|navbl, 
Procurement & Logistics Manager,Confidential,7 - 10 Yrs of Exp,Full TimeManager · 7 - 10 Yrs of Exp · R&D/Science · Logistics/Supply Chain · Purchasing/Procurement · Procurement · Purchasing · Logistics · Supply Chain · Management · Business Administration · Supply Chain Management,https://wuzzuf.net/jobs/p/per9KnP3ZfqO-Procurement-Logistics-Manager-Giza-Egypt?o=395&l=sp&t=sj&a=data science|search-v3|navbl, 
Junior Software Developer - Alexandria,RUSH BRUSH INC,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · backend · React Native · ITI · Frontend · React · Software Development,https://wuzzuf.net/jobs/p/qXu6dMGZOMii-Junior-Software-Developer---Alexandria-RUSH-BRUSH-INC-Alexandria-Egypt?o=396&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior UI/UX Designer,Taqneen,4 - 7 Yrs of Exp,Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · adobe · Creative · Design · illustrator · Xd · Wireframe · Information Technology (IT) · UI/UX,https://wuzzuf.net/jobs/p/cJkwv1VvleMS-Senior-UIUX-Designer-Taqneen-Cairo-Egypt?o=397&l=sp&t=sj&a=data science|search-v3|navbl, 
Javascript Developer with Google Polymer,GetTechForce.com,2+ Yrs of Exp,Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Redux · Software Development · Web · CSS3 · HTML5 · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/nhN5s9kfNKmL-Javascript-Developer-with-Google-Polymer-GetTechForce-com-Cairo-Egypt?o=398&l=sp&t=sj&a=data science|search-v3|navbl, 
Information Security Specialist,Centro CDX,2+ Yrs of Exp,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · CISCO · Firewall · HTTP · DNS · SSL,https://wuzzuf.net/jobs/p/2kVjAhY0O0H2-Information-Security-Specialist-Centro-CDX-Cairo-Egypt?o=399&l=sp&t=sj&a=data science|search-v3|navbl, 
IT Solutions Delivery Manager,B.TECH,10 - 12 Yrs of Exp,Full TimeManager · 10 - 12 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · ERP · CRM · Engineering · Information Technology (IT) · ITIL · Planning · PMP,https://wuzzuf.net/jobs/p/sr5tpS1Wf8g7-IT-Solutions-Delivery-Manager-B-TECH-Cairo-Egypt?o=400&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Automation Test Engineer / ( C#/.NET ).,Cegedim,3+ Yrs of Exp,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · API · Automation · Computer Science · Information Technology (IT) · QA · Selenium,https://wuzzuf.net/jobs/p/QrxHG6FPuC1M-Senior-Automation-Test-Engineer-CNET-Cegedim-Cairo-Egypt?o=401&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Automation Test Engineer - (Java).,Cegedim,3+ Yrs of Exp,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · API · Computer Science · Information Technology (IT) · QA · Selenium · Software Testing,https://wuzzuf.net/jobs/p/lt0X4dJJYOo3-Senior-Automation-Test-Engineer---Java-Cegedim-Cairo-Egypt?o=402&l=sp&t=sj&a=data science|search-v3|navbl, 
Frontend Developer (E-Business).,Cegedim,3+ Yrs of Exp,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · Frontend · E-Business · HTML · CSS · jQuery,https://wuzzuf.net/jobs/p/gTsGt6h9rMbZ-Frontend-Developer-E-Business-Cegedim-Cairo-Egypt?o=403&l=sp&t=sj&a=data science|search-v3|navbl, 
Android Developer (Java & Kotlin),ARPUPLUS,1 - 2 Yrs of Exp,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Java · Android · Information Technology (IT) · Mobile Development · Kotlin · JSON · APIs,https://wuzzuf.net/jobs/p/4vJJge29LDSo-Android-Developer-Java-Kotlin-ARPUPLUS-Giza-Egypt?o=404&l=sp&t=sj&a=data science|search-v3|navbl, 
Java Developer / Springboot 2,GetTechForce.com,3+ Yrs of Exp,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · backend · Computer Science · E2E · Information Technology (IT) · Integration · J2EE · Kafka,https://wuzzuf.net/jobs/p/7OkDdemG9ofX-Java-Developer-Springboot-2-GetTechForce-com-Cairo-Egypt?o=405&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior IT Engineer,Z2 Data,3 - 5 Yrs of Exp,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Computer Science · Information Technology (IT) · Software Development · Microsoft · Software Engineering,https://wuzzuf.net/jobs/p/T0Fxkav9lAlv-Senior-IT-Engineer-Z2-Data-Cairo-Egypt?o=406&l=sp&t=sj&a=data science|search-v3|navbl, 
Microsoft Dynamics AX/365 Functional Specialist,Logistica,2 - 3 Yrs of Exp,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ERP Implementation · Microsoft Dynamics AX/365 · Engineering · Microsoft Dynamics · Information Technology (IT) · ERP · English · Computer Skills,https://wuzzuf.net/jobs/p/kSeHrgmNlzrC-Microsoft-Dynamics-AX365-Functional-Specialist-Logistica-Giza-Egypt?o=407&l=sp&t=sj&a=data science|search-v3|navbl, 
IT Technical Support Administrator,Raya Customer Experience,1 - 2 Yrs of Exp,Full TimeEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Technical Support · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/UhpqpFqjvXiy-IT-Technical-Support-Administrator-Raya-Customer-Experience-Giza-Egypt?o=408&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Application Support,Ezz El arab ,2 - 4 Yrs of Exp,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · IT · application · SQL · ERP · Software · computer · Computer Science,https://wuzzuf.net/jobs/p/puBgvjOGarJZ-Senior-Application-Support-Ezz-El-arab-Giza-Egypt?o=409&l=sp&t=sj&a=data science|search-v3|navbl, 
Technical Support Specialist,Windrose Academy,1+ Yrs of Exp,Full TimeEntry Level · 1+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Technical Support · Installation · Configuration · MCSE · CCNA,https://wuzzuf.net/jobs/p/VJLqlKouVgAz-Technical-Support-Specialist-Windrose-Academy-Cairo-Egypt?o=410&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Full Stack Developer,Qardy,3 - 5 Yrs of Exp,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Node.js · Computer Science · CSS3 · Design · Frontend · HTML5 · Information Technology (IT),https://wuzzuf.net/jobs/p/fLXgT7DF7bJH-Senior-Full-Stack-Developer-Qardy-Giza-Egypt?o=411&l=sp&t=sj&a=data science|search-v3|navbl, 
Product Owner.,Cegedim,6+ Yrs of Exp,Full TimeExperienced · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Healthcare Market · Project Management · Scrum · BDD · Engineering · Agile · Computer Science,https://wuzzuf.net/jobs/p/8JwBuwJ0GGPr-Product-Owner-Cegedim-Cairo-Egypt?o=412&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Products Manager,almentor,4 - 5 Yrs of Exp,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Design · Computer Science · Information Technology (IT) · Market Research · Computer Engineering · Project Management,https://wuzzuf.net/jobs/p/u8PlZCHf9QeP-Senior-Products-Manager-almentor-Cairo-Egypt?o=413&l=sp&t=sj&a=data science|search-v3|navbl, 
Front-End Leader - Angular,STC Solutions - Egypt,6+ Yrs of Exp,Full TimeManager · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Software Development · Information Technology (IT) · Computer Science · javaScript · Software Engineering · Engineering · Software,https://wuzzuf.net/jobs/p/6Jr3snz49n9O-Front-End-Leader---Angular-STC-Solutions---Egypt-Cairo-Egypt?o=414&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Network & Security Admin,Seoudi Supermarket,7 - 10 Yrs of Exp,Full TimeExperienced · 7 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CCNP · Information Technology (IT) · Network · Security · VPN · Troubleshooting,https://wuzzuf.net/jobs/p/QW5VzovrhSUb-Senior-Network-Security-Admin-Seoudi-Supermarket-Giza-Egypt?o=415&l=sp&t=sj&a=data science|search-v3|navbl, 
Backend Developer,Caelum Egypt,2 - 3 Yrs of Exp,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Computer Science · Development · Engineering · Full Stack · Back-End Development · Software Engineering,https://wuzzuf.net/jobs/p/rw0sNLE1OFF8-Backend-Developer-Caelum-Egypt-Giza-Egypt?o=416&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior IT Specialist,Confidential,5 - 12 Yrs of Exp,Full TimeExperienced · 5 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · IT · Computer Science · Software Engineering,https://wuzzuf.net/jobs/p/67b0vyhO3hmB-Senior-IT-Specialist-Cairo-Egypt?o=417&l=sp&t=sj&a=data science|search-v3|navbl, 
System Administrator,Delta Egypt For Lighting ,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · SAP · System Administration · Information technology · Information Technology (IT) · Virtualization · MCSE,https://wuzzuf.net/jobs/p/ZXRJ9QT7acga-System-Administrator-Delta-Egypt-For-Lighting-Cairo-Egypt?o=418&l=sp&t=sj&a=data science|search-v3|navbl, 
DevOps Operations Specialist,B.TECH,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Logistics · Computer Science · Infrastructure · Networking · ERP · IT · Operations,https://wuzzuf.net/jobs/p/NHWwQiJ9KIh6-DevOps-Operations-Specialist-B-TECH-Cairo-Egypt?o=419&l=sp&t=sj&a=data science|search-v3|navbl, 
Network Security Supervisor - Cairo,Rashideen Egypt for Trade ,6 - 10 Yrs of Exp,Full TimeManager · 6 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CCNP · Cisco · Computer Science · Engineering · firewalls · Information Technology (IT) · Security · VPN,https://wuzzuf.net/jobs/p/KSZRs99vyHv6-Network-Security-Supervisor---Cairo-Rashideen-Egypt-for-Trade-Cairo-Egypt?o=420&l=sp&t=sj&a=data science|search-v3|navbl, 
Offshore UAT Test Manager,Etisalat Misr,6 - 8 Yrs of Exp,Full TimeManager · 6 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · UAT · Testing · International Software Testing Qualifications Board · Telecom · Computer Science · test planning · Information Technology (IT),https://wuzzuf.net/jobs/p/UEJ3aPphqlWj-Offshore-UAT-Test-Manager-Etisalat-Misr-Cairo-Egypt?o=421&l=sp&t=sj&a=data science|search-v3|navbl, 
Service Desk Specialist,Arma Non Food,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · AWS · Azure · Microsoft · OR · Customer Service · Windows,https://wuzzuf.net/jobs/p/yUlW5TKl7R3z-Service-Desk-Specialist-Arma-Non-Food-Dakahlia-Egypt?o=422&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Vue.js Developer,Evolvice GmbH,6 - 15 Yrs of Exp,Full TimeExperienced · 6 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Vue.js · Agile · Node.js · Java · Computer Science · Information Technology (IT) · CSS · JavaScript,https://wuzzuf.net/jobs/p/M7Hw3BREsFFj-Senior-Vuejs-Developer-Evolvice-GmbH-Cairo-Egypt?o=423&l=sp&t=sj&a=data science|search-v3|navbl, 
Business Analyst - Software Development,Block Gemini,5 - 8 Yrs of Exp,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Quality Assurance · Information Technology (IT) · Business Analytics · Testing · Computer Science · business,https://wuzzuf.net/jobs/p/PXu1eLLG3eGM-Business-Analyst---Software-Development-Block-Gemini-Giza-Egypt?o=424&l=sp&t=sj&a=data science|search-v3|navbl, 
CRM Admin,Zeta Pharma,1 - 2 Yrs of Exp,Full TimeEntry Level · 1 - 2 Yrs of Exp · Administration · Admin · Administration · Computer Science · CRM · excel · Microsoft Office · office · Skills,https://wuzzuf.net/jobs/p/CmIxCvqkuMvh-CRM-Admin-Zeta-Pharma-Cairo-Egypt?o=425&l=sp&t=sj&a=data science|search-v3|navbl, 
Backend Developer PHP Symfony - GoLodger.com,GoLodger.com,2 - 3 Yrs of Exp,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · symphony · MVC · Agile · Software Development · Debugging · Database · API,https://wuzzuf.net/jobs/p/5nYDizGUHNkY-Backend-Developer-PHP-Symfony---GoLodgercom-GoLodger-com-Cairo-Egypt?o=426&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Business Analyst - Cairo,Future Face,3 - 6 Yrs of Exp,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Agile · Business Administration,https://wuzzuf.net/jobs/p/OoFola4hts1D-Senior-Business-Analyst---Cairo-Future-Face-Cairo-Egypt?o=427&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Android Developer (On-site),Union Coop,5+ Yrs of Exp,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Android SDK · Software Development · Computer Science,https://wuzzuf.net/jobs/p/XECrKG0NzoDS-Senior-Android-Developer-On-site-Union-Coop-Giza-Egypt?o=428&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior DevOps Engineer.,Cegedim,5 - 10 Yrs of Exp,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · System Administration · Linux · Network Adminstartion · Engineering · Windows Systems · MongoDB · Oracle · PostgreSQL,https://wuzzuf.net/jobs/p/a4s02FZDWt5v-Senior-DevOps-Engineer-Cegedim-Cairo-Egypt?o=429&l=sp&t=sj&a=data science|search-v3|navbl, 
Sales and Marketing Engineer,SF Egypt,5 - 7 Yrs of Exp,Full TimeExperienced · 5 - 7 Yrs of Exp · females_only · Engineering - Construction/Civil/Architecture · Marketing/PR/Advertising · Engineering · Information Technology (IT) · Communication · Computer Science · Communication skills · Microsoft Office · Software Development,https://wuzzuf.net/jobs/p/aGJnUpeW3M1p-Sales-and-Marketing-Engineer-SF-Egypt-Cairo-Egypt?o=430&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior UI/UX Designer,Blue Holding,4+ Yrs of Exp,Full TimeExperienced · 4+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Creative · Computer Science · illustrator · Information Technology (IT) · Design · photoshop · ui · UX,https://wuzzuf.net/jobs/p/ZVnzRtFCZEvA-Senior-UIUX-Designer-Blue-Holding-Alexandria-Egypt?o=431&l=sp&t=sj&a=data science|search-v3|navbl, 
System Administration Supervisor - Cairo,Rashideen Egypt for Trade ,10+ Yrs of Exp,Full TimeManager · 10+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Science · Information Technology (IT) · Supervision · System Administration,https://wuzzuf.net/jobs/p/tFXpWzQuyE2H-System-Administration-Supervisor---Cairo-Rashideen-Egypt-for-Trade-Cairo-Egypt?o=432&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Back End Developer,BlinkApp,4 - 6 Yrs of Exp,Full TimeExperienced · 4 - 6 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · .Net · Agile · Angular · APIs · ASP.Net · Computer Science · Engineering,https://wuzzuf.net/jobs/p/92y7qq8F8I1b-Senior-Back-End-Developer-BlinkApp-Cairo-Egypt?o=433&l=sp&t=sj&a=data science|search-v3|navbl, 
Business Analyst (Salesforce),FlairsTech,2 - 5 Yrs of Exp,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · BI · Business Analysis · Computer Science · Communication skills · Information Technology (IT) · Management,https://wuzzuf.net/jobs/p/vc5caDNvKmrB-Business-Analyst-Salesforce-FlairsTech-Cairo-Egypt?o=434&l=sp&t=sj&a=data science|search-v3|navbl, 
Oracle Fusion Apps Technical Senior Consultant – (Integration),Confidential,3+ Yrs of Exp,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Fusion · ERP · Oracle · Computer Science · Cloud · Java · oracle cloud,https://wuzzuf.net/jobs/p/5pidpXvWkhre-Oracle-Fusion-Apps-Technical-Senior-Consultant-–-Integration-Cairo-Egypt?o=435&l=sp&t=sj&a=data science|search-v3|navbl, 
UI/UX Developer,ARPUPLUS,1 - 3 Yrs of Exp,Full TimeEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Adobe Photoshop · Bootstrap · CSS · CSS3 · Design,https://wuzzuf.net/jobs/p/Z1gEFnmMHDbk-UIUX-Developer-ARPUPLUS-Giza-Egypt?o=436&l=sp&t=sj&a=data science|search-v3|navbl, 
Lab Specialist (October),Tagaddod,0 - 2 Yrs of Exp,Full TimeEntry Level · 0 - 2 Yrs of Exp · R&D/Science · Medical/Healthcare · Quality · Lab · Science · Healthcare · Medical · Quality,https://wuzzuf.net/jobs/p/rjQYaTqlh8W5-Lab-Specialist-October-Tagaddod-Giza-Egypt?o=437&l=sp&t=sj&a=data science|search-v3|navbl, 
Lab Specialist (Sharkia),Tagaddod,0 - 2 Yrs of Exp,Full TimeEntry Level · 0 - 2 Yrs of Exp · R&D/Science · Medical/Healthcare · Quality · Lab · Science · quality,https://wuzzuf.net/jobs/p/KF2EDaiOauMD-Lab-Specialist-Sharkia-Tagaddod-Sharqia-Egypt?o=438&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Front End Developer - React,QARA,3 - 5 Yrs of Exp,Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · front-end · React · Angular · Bootstrap · Computer Science · CSS · Git,https://wuzzuf.net/jobs/p/RWndMOQFO51a-Senior-Front-End-Developer---React-QARA-Dakahlia-Egypt?o=439&l=sp&t=sj&a=data science|search-v3|navbl, 
Total Quality Manager,Mamiba ,10 - 12 Yrs of Exp,Full TimeExperienced · 10 - 12 Yrs of Exp · R&D/Science · Manufacturing/Production · Quality · Control · Manufacturing · quality · Quality Control · GMP · Management · Quality Assurance,https://wuzzuf.net/jobs/p/URqghfDYIdb8-Total-Quality-Manager-Mamiba-Giza-Egypt?o=440&l=sp&t=sj&a=data science|search-v3|navbl, 
