jop_title,company_name,exp_level,jop_details,link,
Senior Data Scientist (m/f/d) - Remote Friendly,Sellics,4 - 12 Yrs of Exp,Full TimeWork From HomeExperienced · 4 - 12 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Machine Learning · Data Science · Python · SQL · Data · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/nQ3y4OZh8bfl-Senior-Data-Scientist-mfd---Remote-Friendly-Sellics-Berlin-Germany?o=13&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Scientist,Maxab,2 - 4 Yrs of Exp,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Python · Tableau · Computer Science · Information Technology (IT) · Data Analysis · Big Data Analytics,https://wuzzuf.net/jobs/p/fRC3zWgXtqMp-Data-Scientist-Maxab-Cairo-Egypt?o=14&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Data Analyst,Maxab,3 - 5 Yrs of Exp,Full TimeExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Analysis · analytical · business · Computer Science · Data Analysis · Economics · Management · Reporting · SQL,https://wuzzuf.net/jobs/p/k9UG5aFpwmJp-Senior-Data-Analyst-Maxab-Cairo-Egypt?o=15&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Analyst,Andalusia Maadi Hospital ,0 - 2 Yrs of Exp,Full TimeEntry Level · 0 - 2 Yrs of Exp · Analyst/Research · Analysis · Data · Computer Science · Data Analyst · Data Analysis · Analyst · excel,https://wuzzuf.net/jobs/p/agTOmI4WSkHv-Data-Analyst-Andalusia-Maadi-Hospital-Cairo-Egypt?o=16&l=sp&t=sj&a=data science|search-v3|navbl, 
Security Engineer – Data & Analytics (Work From Home),SSC Egypt,5+ Yrs of Exp,Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Analytics · Engineering · Data · Information Technology (IT) · Security · CISA,https://wuzzuf.net/jobs/p/iqeZWv0TT6TG-Security-Engineer-–-Data-Analytics-Work-From-Home-SSC-Egypt-Cairo-Egypt?o=17&l=sp&t=sj&a=data science|search-v3|navbl, 
Processing Officer (Science Graduates),NEXtCARE,2+ Yrs of Exp,Full TimeShift BasedExperienced · 2+ Yrs of Exp · Administration · R&D/Science · Science · Health Care · Insurance · Data Entry · Veterinary · Data Processor · English · Administration,https://wuzzuf.net/jobs/p/WjxDRbMh6PaE-Processing-Officer-Science-Graduates-NEXtCARE-Cairo-Egypt?o=18&l=sp&t=sj&a=data science|search-v3|navbl, 
Security Engineer – Data & Streaming,SSC Egypt,4 - 10 Yrs of Exp,Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CISA · CISSP · Computer Engineering · Information Security · System Security · Engineering · CISM · Computer Science,https://wuzzuf.net/jobs/p/1WSZ96LtxYIF-Security-Engineer-–-Data-Streaming-SSC-Egypt-Cairo-Egypt?o=19&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Big Data Engineers,BBI-Consultancy,7 - 10 Yrs of Exp,Full TimeWork From HomeExperienced · 7 - 10 Yrs of Exp · Banking · IT/Software Development · Engineering - Telecom/Technology · Big Data · Data Science · Python · Kafka · Spark,https://wuzzuf.net/jobs/p/5EBOFMSD1Bii-Senior-Big-Data-Engineers-BBI-Consultancy-Abu-Dhabi-United-Arab-Emirates?o=20&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Scientist,Fixed Solutions,5+ Yrs of Exp,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Computer Science · Data Science · data scientist · Engineering · Information Technology (IT) · Java · Machine Learning,https://wuzzuf.net/jobs/p/rkQ7JHkEd4ke-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=21&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Governance Expert,World of systems and software,5 - 8 Yrs of Exp,Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Governance · Information Technology (IT) · Data Entry · Database SQL Server · Data Management · Stewardship,https://wuzzuf.net/jobs/p/6l9MTdbx7aoy-Data-Governance-Expert-World-of-systems-and-software-Cairo-Egypt?o=22&l=sp&t=sj&a=data science|search-v3|navbl, 
